EvseId,Created,ExternalId,DurationSeconds,VolumeKwh,TariffCode,WholesaleCost
NL-GFX-ENL-GFX-RD00274-2,2022-05-30 10:41:16.2820000,NLGFX637894848203153288-fa347,19255,15.0900,A2,4.5300
NL-GFX-ENL-GFX-RD00265-2,2022-09-02 12:40:41.2880000,NLGFX637976966424191918-7e64d,22598,21.1500,A2,6.3500
NL-GFX-ENL-GFX-RD00274-2,2022-04-14 15:39:58.1317664,NLGFX637855148498851366-5d792,32748,44.9400,A2,13.4800
NL-GFX-ENL-GFX-RD00298-1,2022-05-23 14:48:21.4670000,NLGFX637888818910573415-70dbb,32209,10.1300,A2,3.0400
NL-GFX-EJLZ-J0034-1,2022-09-08 16:06:55.9930000,NLGFX637982393543662442-da421,10674,21.1100,A2,6.3300
NL-GFX-ENL-GFX-RD00272-2,2022-05-10 14:59:34.9540000,NLGFX637877617686466292-9da48,29799,24.5700,A2,7.3700
NL-GFX-ENL-GFX-RD00298-1,2022-09-30 15:06:51.4300000,NLGFX638001170516979584-60066,30160,58.7700,A2,17.6300
NL-GFX-ENL-GFX-RD00265-1,2022-05-18 06:57:59.1660000,NLGFX637884481536352065-db562,5725,5.0400,A2,1.5100
NL-GFX-ENL-GFX-RD00272-2,2022-10-13 14:22:15.3260000,NLGFX638012567559495278-324b3,10979,0.7500,A2,0.2300
NL-GFX-ENL_GFX_A0017-2,2022-11-10 15:08:47.1940000,NLGFX638036568724283686-b2b82,32859,16.4900,A2,4.9500
NL-GFX-ENL-GFX-RD00272-2,2022-06-03 11:46:26.1290000,NLGFX637898495990834901-834d3,3987,12.0800,A2,3.6200
NL-GFX-ENL-GFX-RD00265-2,2022-05-24 11:26:53.6570000,NLGFX637889701188261119-bc0e1,18295,5.6100,A2,1.6800
NL-GFX-ENL-GFX-RD00272-1,2022-11-02 15:11:59.9590000,NLGFX638029677170541006-77d1c,31002,4.8800,A2,1.4600
NL-GFX-ENL-GFX-RD00272-1,2022-09-29 14:59:27.5200000,NLGFX638000267421942656-92d4f,33626,12.4800,A2,3.7400
NULL,2016-03-03 18:31:38.7433333,807346,30098,10.1600,A2,3.0500
NL-GFX-ENL-GFX-RD00272-1,2022-09-23 16:02:45.1550000,NLGFX637995125376140516-8896c,33226,5.6900,A2,1.7100
NL-GFX-ENL-GFX-RD00265-1,2022-04-20 09:39:08.0178434,NLGFX637860349207282625-a3903,9427,4.6500,A2,1.4000
NL-GFX-ENL-GFX-RD00272-2,2022-08-30 15:06:31.7800000,NLGFX637974362076309706-17cc6,32584,23.5500,A2,7.0700
NL-GFX-ENL-GFX-RD00272-1,2022-07-25 14:13:49.2090000,NLGFX637943243435441158-b17ab,30886,8.6800,A2,2.6000
NULL,2016-06-28 14:23:21.3900000,GFX-20160628051510.320,32895,7.7700,A2,2.3300
NULL,2016-07-18 14:09:13.6866667,GFX-20160718050124.467,32875,5.6400,A2,1.6900
NULL,2016-05-19 14:19:54.3533333,GFX-20160519044244.052,34632,2.6600,A2,0.8000
NL-GFX-ENL-GFX-RD00272-1,2022-04-28 16:28:57.3911119,NLGFX637867247296207700-4a8bf,35408,55.8500,A2,16.7600
NL-GFX-ENL-GFX-RD00265-1,2022-05-12 14:50:23.5040000,NLGFX637879339075553297-6a2e8,29915,5.4600,A2,1.6400
NL-GFX-ENL-GFX-RD00298-2,2022-10-31 07:27:36.3700000,NLGFX638027929015410664-33a29,5154,4.3600,A2,1.3100
NULL,2016-02-03 22:28:34.7633333,1601772455,33396,7.2500,A2,2.1700
NL-GFX-ENL_GFX_A0017-2,2022-10-31 13:34:46.7480000,NLGFX638027916400057189-b3d46,28448,21.8600,A2,6.5600
NL-GFX-EJLZ-J0034-2,2022-07-14 12:57:14.3110000,NLGFX637933746880160869-5aa35,25557,9.4600,A2,2.8400
NULL,2016-03-03 18:31:17.2133333,814367,33112,9.6600,A2,2.9000
NL-GFX-ENL-GFX-RD00298-2,2022-11-11 15:41:12.5830000,NLGFX638037741615291925-0368a,3910,3.2100,A2,0.9600
NL-GFX-ENL-GFX-RD00274-2,2022-06-01 14:40:11.7020000,NLGFX637896611598153061-ae643,30050,21.8200,A2,6.5500
NULL,2016-05-03 09:14:13.6500000,932376,23975,7.1301,A2,2.1400
